size,clique
3,"leonardo_bianchi | gioacchino_fumarola | giovanni_mingazzini"
3,"sante_de_sanctis | gioacchino_fumarola | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
3,"gioacchino_fumarola | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma | ugo_cerletti"
3,"gioacchino_fumarola | giovanni_mingazzini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
3,"mara_palazzoli_selvini | virginio_porta | gruppo_milanese_per_lo_sviluppo_della_psicoterapia"
3,"dario_de_martis | mara_palazzoli_selvini | gruppo_milanese_per_lo_sviluppo_della_psicoterapia"
3,"dario_de_martis | mara_palazzoli_selvini | virginio_porta"
3,"berta_neumann | mara_palazzoli_selvini | gruppo_milanese_per_lo_sviluppo_della_psicoterapia"
3,"dario_de_martis | berta_neumann | mara_palazzoli_selvini"
3,"mara_palazzoli_selvini | gruppo_milanese_per_lo_sviluppo_della_psicoterapia | gaetano_benedetti"
3,"berta_neumann | mara_palazzoli_selvini | gaetano_benedetti"
3,"tito_vignoli | cesare_lombroso | paolo_mantegazza"
3,"giovanni_carlo_zapparoli | claudia_artoni_schlesinger | ospedale_psichiatrico_provinciale_paolo_pini"
3,"dina_vallino | claudia_artoni_schlesinger | societ_psicoanalitica_italiana"
3,"dina_vallino | claudia_artoni_schlesinger | ospedale_psichiatrico_provinciale_paolo_pini"
3,"centro_milanese_di_psicoanalisi_cesare_musatti | giovanni_carlo_zapparoli | claudia_artoni_schlesinger"
3,"dina_vallino | centro_milanese_di_psicoanalisi_cesare_musatti | claudia_artoni_schlesinger"
3,"giovanni_carlo_zapparoli | claudia_artoni_schlesinger | maria_mariolina_elvira_berrini"
3,"dina_vallino | claudia_artoni_schlesinger | maria_mariolina_elvira_berrini"
3,"centro_milanese_di_psicoanalisi_cesare_musatti | claudia_artoni_schlesinger | maria_mariolina_elvira_berrini"
3,"ospedale_psichiatrico_provinciale_di_milano_in_mombello | gaetano_perusini | ugo_cerletti"
3,"sante_de_sanctis | giovanni_mingazzini | gaetano_perusini"
3,"giovanni_mingazzini | gaetano_perusini | ugo_cerletti"
3,"emil_kraepelin | gaetano_perusini | ugo_cerletti"
3,"augusto_tamburini | gaetano_perusini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
3,"sante_de_sanctis | gaetano_perusini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
3,"gaetano_perusini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma | ugo_cerletti"
3,"giovanni_mingazzini | gaetano_perusini | clinica_delle_malattie_nervose_e_mentali_dell_universit_di_roma"
3,"vittorio_benussi | cesare_luigi_musatti | antonio_aliotta"
3,"berta_neumann | gruppo_milanese_per_lo_sviluppo_della_psicoterapia | emanuele_gualandri"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | emanuele_gualandri | marialisa_billa_pedroni_zanuso"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | emanuele_gualandri | gaetano_benedetti"
3,"berta_neumann | emanuele_gualandri | gaetano_benedetti"
3,"emanuele_gualandri | gaetano_benedetti | marialisa_billa_pedroni_zanuso"
3,"mara_palazzoli_selvini | gruppo_milanese_per_lo_sviluppo_della_psicoterapia | emanuele_gualandri"
3,"berta_neumann | mara_palazzoli_selvini | emanuele_gualandri"
3,"mara_palazzoli_selvini | emanuele_gualandri | gaetano_benedetti"
3,"giuseppe_sergi | sante_de_sanctis | giovanni_mingazzini"
3,"giuseppe_sergi | sante_de_sanctis | giuseppe_ferruccio_montesano"
3,"giuseppe_sergi | sante_de_sanctis | domenico_antonio_pisani"
3,"augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia | giovanni_battista_verga"
3,"serafino_biffi | cesare_castiglioni | andrea_verga"
3,"serafino_biffi | cesare_castiglioni | carlo_livi"
3,"carlo_de_sanctis | maria_venturini | giovanni_bollea"
3,"maria_venturini | giuseppe_ferruccio_montesano | giovanni_bollea"
3,"carlo_de_sanctis | maria_venturini | giuseppe_ferruccio_montesano"
3,"maria_venturini | maria_mariolina_elvira_berrini | giovanni_bollea"
3,"maria_venturini | nicola_perrotti | giovanni_bollea"
3,"giuseppe_amadei | silvio_tonnini | manicomio_di_s_maria_della_scaletta_osservanza_di_imola"
3,"sante_de_sanctis | giuseppe_ferruccio_montesano | pasquale_uva"
3,"gaetano_kanizsa | paolo_bozzi | fabio_metelli"
3,"istituto_di_psicologia_dell_universit_di_milano_presso_la_facolt_di_filosofia | franco_fornari | cesare_luigi_musatti"
3,"giovanni_carlo_zapparoli | istituto_di_psicologia_dell_universit_di_milano_presso_la_facolt_di_filosofia | franco_fornari"
3,"eugenio_medea | angelo_de_vincenti | antigono_raggi"
3,"angelo_de_vincenti | antigono_raggi | lorenzo_ellero"
3,"eugenio_medea | antigono_raggi | senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro"
3,"antigono_raggi | senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro | lorenzo_ellero"
3,"angelo_de_vincenti | antigono_raggi | senavretta_poi_stabilimento_sanitario_rossi_poi_ville_turro"
3,"gruppo_milanese_per_lo_sviluppo_della_psicoterapia | ludwig_binswanger | massimo_fagioli"
3,"giuseppe_corberi | ospedale_psichiatrico_provinciale_di_bologna_in_imola | giulio_cesare_ferrari"
3,"giuseppe_seppilli | ospedale_psichiatrico_provinciale_di_bologna_in_imola | silvio_tonnini"
3,"gabriele_buccola | augusto_tamburini | manicomio_san_lazzaro_di_reggio_emilia"
